Berichtszeitpunkt	Impfung	Zielgruppe	Impfstatus	Altersgruppe	Bundesland_Name	Bundesland_short	KV_Region_Name	KV_Region_short	Landkreis_Name	Regionalschluessel_Kreis	Bevoelkerung_Gewicht	Impfquote
2014/15	Influenza	Schwangere	1 Dosis	15-19	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	1235	5.9919
2014/15	Influenza	Schwangere	1 Dosis	20-24	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	8347	5.73859
2014/15	Influenza	Schwangere	1 Dosis	25-29	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	24616	6.17485
2014/15	Influenza	Schwangere	1 Dosis	30-34	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	31363	6.67347
2014/15	Influenza	Schwangere	1 Dosis	35-39	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	15505	7.11383
2014/15	Influenza	Schwangere	1 Dosis	40-49	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	3167	6.66246
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	84233	6.50576
2014/15	Influenza	Schwangere	1 Dosis	15-19	Bayern	BY	Bayern	BY	NA	NA	1537	4.61939
2014/15	Influenza	Schwangere	1 Dosis	20-24	Bayern	BY	Bayern	BY	NA	NA	9914	5.06355
2014/15	Influenza	Schwangere	1 Dosis	25-29	Bayern	BY	Bayern	BY	NA	NA	28784	4.92982
2014/15	Influenza	Schwangere	1 Dosis	30-34	Bayern	BY	Bayern	BY	NA	NA	36996	5.54655
2014/15	Influenza	Schwangere	1 Dosis	35-39	Bayern	BY	Bayern	BY	NA	NA	18859	6.32059
2014/15	Influenza	Schwangere	1 Dosis	40-49	Bayern	BY	Bayern	BY	NA	NA	3734	6.15961
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Bayern	BY	Bayern	BY	NA	NA	99824	5.47564
2014/15	Influenza	Schwangere	1 Dosis	15-19	Berlin	BE	Berlin	BE	NA	NA	724	11.32597
2014/15	Influenza	Schwangere	1 Dosis	20-24	Berlin	BE	Berlin	BE	NA	NA	3401	10.20288
2014/15	Influenza	Schwangere	1 Dosis	25-29	Berlin	BE	Berlin	BE	NA	NA	9385	11.13479
2014/15	Influenza	Schwangere	1 Dosis	30-34	Berlin	BE	Berlin	BE	NA	NA	11495	11.70074
2014/15	Influenza	Schwangere	1 Dosis	35-39	Berlin	BE	Berlin	BE	NA	NA	6437	13.03402
2014/15	Influenza	Schwangere	1 Dosis	40-49	Berlin	BE	Berlin	BE	NA	NA	1478	12.31394
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Berlin	BE	Berlin	BE	NA	NA	32920	11.66464
2014/15	Influenza	Schwangere	1 Dosis	15-19	Brandenburg	BB	Brandenburg	BB	NA	NA	414	12.56039
2014/15	Influenza	Schwangere	1 Dosis	20-24	Brandenburg	BB	Brandenburg	BB	NA	NA	1784	13.17265
2014/15	Influenza	Schwangere	1 Dosis	25-29	Brandenburg	BB	Brandenburg	BB	NA	NA	5504	12.28198
2014/15	Influenza	Schwangere	1 Dosis	30-34	Brandenburg	BB	Brandenburg	BB	NA	NA	5469	11.04407
2014/15	Influenza	Schwangere	1 Dosis	35-39	Brandenburg	BB	Brandenburg	BB	NA	NA	2388	10.97152
2014/15	Influenza	Schwangere	1 Dosis	40-49	Brandenburg	BB	Brandenburg	BB	NA	NA	401	8.22943
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Brandenburg	BB	Brandenburg	BB	NA	NA	15960	11.66667
2014/15	Influenza	Schwangere	1 Dosis	15-19	Bremen	HB	Bremen	HB	NA	NA	155	6.45161
2014/15	Influenza	Schwangere	1 Dosis	20-24	Bremen	HB	Bremen	HB	NA	NA	843	10.79478
2014/15	Influenza	Schwangere	1 Dosis	25-29	Bremen	HB	Bremen	HB	NA	NA	1548	12.4031
2014/15	Influenza	Schwangere	1 Dosis	30-34	Bremen	HB	Bremen	HB	NA	NA	1735	14.0634
2014/15	Influenza	Schwangere	1 Dosis	35-39	Bremen	HB	Bremen	HB	NA	NA	937	14.08751
2014/15	Influenza	Schwangere	1 Dosis	40-49	Bremen	HB	Bremen	HB	NA	NA	205	13.65854
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Bremen	HB	Bremen	HB	NA	NA	5423	12.85266
2014/15	Influenza	Schwangere	1 Dosis	15-19	Hessen	HE	Hessen	HE	NA	NA	871	8.26636
2014/15	Influenza	Schwangere	1 Dosis	20-24	Hessen	HE	Hessen	HE	NA	NA	5582	8.25869
2014/15	Influenza	Schwangere	1 Dosis	25-29	Hessen	HE	Hessen	HE	NA	NA	13849	8.54935
2014/15	Influenza	Schwangere	1 Dosis	30-34	Hessen	HE	Hessen	HE	NA	NA	16518	9.72878
2014/15	Influenza	Schwangere	1 Dosis	35-39	Hessen	HE	Hessen	HE	NA	NA	8956	10.33944
2014/15	Influenza	Schwangere	1 Dosis	40-49	Hessen	HE	Hessen	HE	NA	NA	1831	8.95685
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Hessen	HE	Hessen	HE	NA	NA	47607	9.27175
2014/15	Influenza	Schwangere	1 Dosis	15-19	Mecklenburg-Vorpommern	MV	Mecklenburg-Vorpommern	MV	NA	NA	350	11.71429
2014/15	Influenza	Schwangere	1 Dosis	20-24	Mecklenburg-Vorpommern	MV	Mecklenburg-Vorpommern	MV	NA	NA	1621	12.52313
2014/15	Influenza	Schwangere	1 Dosis	25-29	Mecklenburg-Vorpommern	MV	Mecklenburg-Vorpommern	MV	NA	NA	4436	11.58702
2014/15	Influenza	Schwangere	1 Dosis	30-34	Mecklenburg-Vorpommern	MV	Mecklenburg-Vorpommern	MV	NA	NA	3574	12.50699
2014/15	Influenza	Schwangere	1 Dosis	35-39	Mecklenburg-Vorpommern	MV	Mecklenburg-Vorpommern	MV	NA	NA	1506	12.01859
2014/15	Influenza	Schwangere	1 Dosis	40-49	Mecklenburg-Vorpommern	MV	Mecklenburg-Vorpommern	MV	NA	NA	269	11.89591
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Mecklenburg-Vorpommern	MV	Mecklenburg-Vorpommern	MV	NA	NA	11756	12.06193
2014/15	Influenza	Schwangere	1 Dosis	15-19	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	1849	8.54516
2014/15	Influenza	Schwangere	1 Dosis	20-24	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	8972	9.32902
2014/15	Influenza	Schwangere	1 Dosis	25-29	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	20920	8.9914
2014/15	Influenza	Schwangere	1 Dosis	30-34	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	25425	9.9823
2014/15	Influenza	Schwangere	1 Dosis	35-39	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	13648	10.33118
2014/15	Influenza	Schwangere	1 Dosis	40-49	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	2873	10.26801
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Nordrhein-Westfalen	NW	Nordrhein	NO	NA	NA	73687	9.66113
2014/15	Influenza	Schwangere	1 Dosis	15-19	Sachsen	SN	Sachsen	SN	NA	NA	767	12.12516
2014/15	Influenza	Schwangere	1 Dosis	20-24	Sachsen	SN	Sachsen	SN	NA	NA	3540	11.49718
2014/15	Influenza	Schwangere	1 Dosis	25-29	Sachsen	SN	Sachsen	SN	NA	NA	11634	12.10246
2014/15	Influenza	Schwangere	1 Dosis	30-34	Sachsen	SN	Sachsen	SN	NA	NA	11143	13.04855
2014/15	Influenza	Schwangere	1 Dosis	35-39	Sachsen	SN	Sachsen	SN	NA	NA	5060	13.28063
2014/15	Influenza	Schwangere	1 Dosis	40-49	Sachsen	SN	Sachsen	SN	NA	NA	790	11.39241
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Sachsen	SN	Sachsen	SN	NA	NA	32934	12.52201
2014/15	Influenza	Schwangere	1 Dosis	15-19	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	549	18.21494
2014/15	Influenza	Schwangere	1 Dosis	20-24	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	2147	18.53749
2014/15	Influenza	Schwangere	1 Dosis	25-29	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	5438	20.11769
2014/15	Influenza	Schwangere	1 Dosis	30-34	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	4711	19.18913
2014/15	Influenza	Schwangere	1 Dosis	35-39	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	1941	17.25914
2014/15	Influenza	Schwangere	1 Dosis	40-49	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	290	17.24138
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Sachsen-Anhalt	ST	Sachsen-Anhalt	ST	NA	NA	15076	19.10984
2014/15	Influenza	Schwangere	1 Dosis	15-19	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	500	13
2014/15	Influenza	Schwangere	1 Dosis	20-24	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	2486	12.79163
2014/15	Influenza	Schwangere	1 Dosis	25-29	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	5758	10.85446
2014/15	Influenza	Schwangere	1 Dosis	30-34	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	6201	11.224
2014/15	Influenza	Schwangere	1 Dosis	35-39	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	3151	11.71057
2014/15	Influenza	Schwangere	1 Dosis	40-49	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	666	11.86186
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Schleswig-Holstein	SH	Schleswig-Holstein	SH	NA	NA	18762	11.46999
2014/15	Influenza	Schwangere	1 Dosis	15-19	Thüringen	TH	Thüringen	TH	NA	NA	475	9.89474
2014/15	Influenza	Schwangere	1 Dosis	20-24	Thüringen	TH	Thüringen	TH	NA	NA	1918	10.74035
2014/15	Influenza	Schwangere	1 Dosis	25-29	Thüringen	TH	Thüringen	TH	NA	NA	5789	9.31076
2014/15	Influenza	Schwangere	1 Dosis	30-34	Thüringen	TH	Thüringen	TH	NA	NA	5077	8.70593
2014/15	Influenza	Schwangere	1 Dosis	35-39	Thüringen	TH	Thüringen	TH	NA	NA	2025	8.98765
2014/15	Influenza	Schwangere	1 Dosis	40-49	Thüringen	TH	Thüringen	TH	NA	NA	356	7.02247
2014/15	Influenza	Schwangere	1 Dosis	Gesamt	Thüringen	TH	Thüringen	TH	NA	NA	15640	9.21355
2015/16	Influenza	Schwangere	1 Dosis	15-19	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	1229	7.16029
2015/16	Influenza	Schwangere	1 Dosis	20-24	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	8084	6.02425
2015/16	Influenza	Schwangere	1 Dosis	25-29	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	25281	6.1034
2015/16	Influenza	Schwangere	1 Dosis	30-34	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	32374	6.78322
2015/16	Influenza	Schwangere	1 Dosis	35-39	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	16631	7.36576
2015/16	Influenza	Schwangere	1 Dosis	40-49	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	3176	6.5806
2015/16	Influenza	Schwangere	1 Dosis	Gesamt	Baden-Württemberg	BW	Baden-Württemberg	BW	NA	NA	86775	6.62403
2015/16	Influenza	Schwangere	1 Dosis	15-19	Bayern	BY	Bayern	BY	NA	NA	1515	4.8844900000000004
2015/16	Influenza	Schwangere	1 Dosis	20-24	Bayern	BY	Bayern	BY	NA	NA	9690	4.52012
2015/16	Influenza	Schwangere	1 Dosis	25-29	Bayern	BY	Bayern	BY	NA	NA	30351	4.72143
